Species	GF	Decid_Evergreen	Needle_Broadlf	C3C4	N2_fixer	LL	LMA	Nmass	Pmass	Amass	Gs
Allocasuarina_sp	T	E	B	C3	Y	NA	9.628692166	1.128144143	0.262568792	6.076491816	8.987529107
Allophylus_camptostachys	T	E	NA	NA	N	NA	7.626665834	1.054106978	0.409789373	NA	NA
Allophylus_varians	T	NA	NA	NA	N	NA	6.99001479	1.427644463	0.441118282	NA	NA
Alnus_crispa	S	D	NA	NA	Y	1.744211342	6.289295685	1.351249873	NA	NA	NA
Alnus_glutinosa	T	D	NA	NA	Y	NA	6.271030076	1.730995105	0.504226572	NA	NA
Alnus_glutinosa	T	D	NA	NA	Y	NA	6.61103988	NA	NA	NA	NA
Alnus_hirsuta	T	D	B	C3	Y	1.677317679	6.651681346	1.657234051	NA	8.655787713	NA
Alnus_incana	T	D	B	C3	Y	1.744211342	5.273835157	1.654982911	NA	NA	NA
Alnus_incana	T	D	B	C3	Y	NA	6.410919481	1.661132664	NA	NA	NA
Alnus_incana	T	D	B	C3	Y	NA	6.209465384	NA	NA	NA	NA
Alnus_japonica	T	D	B	C3	Y	NA	6.742865742	NA	NA	8.176586935	NA
Alnus_maximowiczii	T	D	NA	NA	Y	NA	6.196029855	1.408355457	NA	NA	NA
Alnus_maximowiczii	T	D	NA	NA	Y	NA	5.246584635	1.435808114	NA	NA	NA
Alnus_rhombifolia	T	D	NA	NA	Y	NA	7.287056011	1.422854122	NA	NA	NA
Alnus_rugosa	T	D	B	C3	Y	2.177442995	7.082281853	1.496487239	0.369472626	7.658102489	NA
Alnus_rugosa	T	D	B	C3	Y	NA	5.913769994	1.611428826	0.518105018	NA	NA
Alseis_blackiana	T	NA	NA	NA	N	2.741760334	NA	1.60441058	NA	NA	NA
Alternanthera_crucis	H	D	NA	C4	N	NA	NA	NA	NA	NA	12.57208547
Amaranthus_blitoides	H	NA	B	C4	N	NA	5.705018944	1.887935203	NA	16.33594971	11.06033934
Amaranthus_retroflexus	H	NA	B	C4	N	NA	5.873815284	1.501613476	NA	12.58683587	8.604526004
Ambrosia_artemisiifolia	H	NA	B	C3	N	1.191126834	6.615466322	1.501613476	NA	12.78586512	20.38787476
Ambrosia_psilostachya	H	NA	NA	C3	N	NA	NA	NA	NA	NA	21.00486753
Ambrosia_trifida	H	NA	B	NA	N	NA	5.724341351	1.904917288	NA	13.37364617	NA
Amelanchier_alnifolia	T	NA	B	C3	NA	NA	7.600852478	1.297022675	0.44827831	8.923134587	10.86564822
Amelanchier_spicata	S	D	NA	NA	NA	NA	5.515543383	NA	NA	NA	NA
Amomyrtus_luma	T	E	B	C3	N	5.069535978	8.579312352	1.004330724	NA	NA	NA
Amoora_rohitika	T	E	B	NA	N	NA	4.995442684	1.293922852	0.557091014	NA	NA
Amorpha_canescens	S	NA	B	C3	Y	NA	NA	NA	NA	NA	11.57144339
Amorpha_canescens	S	NA	B	C3	Y	NA	6.138997801	1.456691229	NA	10.48817066	12.09643535
